vehicle_name,vehicle_type,track_type,average_speed,fuel_consumption,total_steering,total_throttle,total_brake,velocity,lap time,mass,drag_coefficient,center_of_mass_x,center_of_mass_z,max_rpm,clutch_strength,gear_switch_time,front_left_wheel_radius,front_left_wheel_max_brake_torque,front_left_wheel_lat_stiff_max_load,front_left_wheel_lat_stiff_value,front_left_wheel_long_stiff_value,rear_right_wheel_radius,rear_right_wheel_max_brake_torque,rear_right_wheel_max_handbrake_torque,rear_right_wheel_lat_stiff_max_load,rear_right_wheel_lat_stiff_value,rear_right_wheel_long_stiff_value
vehicle.audi.tt,Car,easy,13.81425071,0.005380814,171.8893296,37.5527543,5.756017012,3.532315858,43.23068153,1265,0.25,0.5,-0.25,4700,10,0.100000001,34,700,3,20,3000,34,700,1400,3,20,3000
vehicle.harley-davidson.low_rider,Motorcycle,easy,13.8260856,0.001620822,188.9740151,38.83304129,1.225022711,4.265146427,45.06793174,286,0.300000012,0.149999991,-0.25,5000,0.600000024,0.5,35,1500,2,17,1000,35.5,1500,3000,2,17,1000
vehicle.dodge.charger_2020,Car,easy,13.84147268,0.007124994,172.717915,42.54702885,4.402779266,4.628958734,43.22541077,1920,0.300000012,0.099999994,-0.199999988,8000,10,0.100000001,35,1000,3,20,3000,35,1000,2000,3,20,3000
vehicle.ford.ambulance,Van,easy,14.17688529,0.007568563,214.8455177,47.26315105,0.330608018,4.55684573,45.72108553,1579,0.300000012,0.199999988,-0.899999976,6500,10,0.100000001,35,800,2,17,1000,35,800,1600,2,17,1000
vehicle.lincoln.mkz_2020,Car,easy,14.36099466,0.005406787,185.7717265,38.89497975,1.728608786,4.812972962,43.73588225,1696,0.300000012,0.299999982,-0.199999988,6500,10,0.100000001,35.5,800,3,20,3000,35.5,800,1600,3,20,3000
vehicle.mini.cooper_s_2021,Car,easy,14.45045244,0.004812546,192.8055409,41.80829812,7.559222413,3.465051077,44.18067418,1130,0.300000012,0.599999964,-0.5,6500,10,0.100000001,37.5,500,1,17,3000,37.5,500,1000,1,17,3000
vehicle.toyota.prius,Car,easy,14.33135645,0.005745726,171.8391963,42.59700863,0.936794912,3.497401949,44.33676518,1375,0.300000012,0.5,-0.299999982,5000,10,0,37,800,3,20,3000,37,800,1600,3,20,3000
vehicle.carlamotors.carlacola,Truck,easy,14.48617571,0.019779672,243.5249733,45.70905104,0.74226869,7.041604069,53.99863783,4600,0.300000012,1,-0.699999988,4500,10,0.100000001,46,2700,5,20,3000,46,2700,5400,5,20,3000
vehicle.vespa.zx125,Motorcycle,easy,14.67754072,0.001856195,250.0974797,40.24605422,1.346391588,6.269339161,50.32075179,200,0.300000012,0.201072931,-0.450094759,2000,10,0.5,21.5,1500,2,17,1000,21.5,1500,3000,2,17,1000
vehicle.nissan.patrol_2021,Car,easy,14.76982883,0.005672499,175.7588976,48.89959981,3.144341279,4.870383452,43.88210175,2355,0.300000012,0.599999964,-0.5,6000,10,0.100000001,45,1500,5,20,4000,45,1500,3000,5,20,4000
vehicle.mercedes.sprinter,Van,easy,14.97022092,0.012518663,175.5055698,53.38998319,1.636654971,4.98070143,44.5080884,3000,0.5,0.599999964,-0.799999952,5000,10,0.100000001,35,1500,5,20,3000,35,1500,3000,5,20,3000
vehicle.volkswagen.t2_2021,Van,easy,15.03902068,0.005196251,299.1274345,40.36429612,1.288604558,3.97305556,45.93656255,1105,0.300000012,0.599999964,-0.699999988,4500,10,0.100000001,33.5,400,2,17,1000,33.5,400,800,2,17,1000
vehicle.tesla.cybertruck,Truck,easy,15.32928119,0.00774942,133.8384847,55.12514602,8.202857801,6.804699851,42.97296434,1500,0.300000012,0.599999964,-0.5,15000,10,0,53.5,1600,2,17,1000,53.5,1600,3200,2,17,1000
vehicle.ford.mustang,Car,easy,15.52146721,0.004143036,190.4662394,47.44398238,0.803896628,5.028143737,44.00074854,1410,0.300000012,0.5,-0.299999982,4500,10,0.100000001,32,700,5,15,3000,32,700,1400,3,15,3000
vehicle.carlamotors.firetruck,Truck,easy,15.53837646,0.028326577,296.9771147,72.75335198,0.978493594,9.723925033,45.72217689,10000,0.5,0.799999952,-1.199999928,5000,20,0.100000001,57,3000,5,15,3000,57,3000,6000,5,15,3000
vehicle.kawasaki.ninja,Motorcycle,easy,13.6010928,0.001814272,270.6979258,54.09327181,11.54845616,3.496154005,47.57524239,166,0.300000012,0.199999988,-0.399999976,10000,0.600000024,0.5,32,1500,2,17,1000,32,1500,3000,2,17,1000
vehicle.yamaha.yzf,Motorcycle,easy,14.42416684,0.003655803,281.1776401,54.36420948,14.73871687,5.9921395,48.83803022,140,0.300000012,0.049999997,-0.399999976,9000,0.600000024,0.5,31,1500,2,17,1000,31,1500,3000,2,17,1000
vehicle.kawasaki.ninja,Motorcycle,easy,14.940905,0.001613963,269.8420092,53.74299439,13.22272949,4.328694317,47.51769702,166,0.300000012,0.199999988,-0.399999976,10000,0.600000024,0.5,32,1500,2,17,1000,32,1500,3000,2,17,1000
vehicle.yamaha.yzf,Motorcycle,easy,15.10393392,0.003523103,281.5631099,57.32875892,18.5496872,5.155408974,49.40202518,140,0.300000012,0.049999997,-0.399999976,9000,0.600000024,0.5,31,1500,2,17,1000,31,1500,3000,2,17,1000
vehicle.kawasaki.ninja,Motorcycle,easy,14.96578985,0.002218764,240.2856068,47.76827632,9.339983774,3.72449916,47.50020852,166,0.300000012,0.199999988,-0.399999976,10000,0.600000024,0.5,32,1500,2,17,1000,32,1500,3000,2,17,1000
vehicle.yamaha.yzf,Motorcycle,easy,15.06616575,0.003650501,266.8189722,56.75169234,16.03648802,5.718008713,48.64389249,140,0.300000012,0.049999997,-0.399999976,9000,0.600000024,0.5,31,1500,2,17,1000,31,1500,3000,2,17,1000
vehicle.yamaha.yzf,Motorcycle,easy,12.10103588,0.00024695,277.990346,58.31200185,20.1432636,4.262978147,49.69009317,140,0.300000012,0.049999997,-0.399999976,9000,0.600000024,0.5,31,1500,2,17,1000,31,1500,3000,2,17,1000
vehicle.carlamotors.carlacola,Truck,easy,11.93863896,0.011926453,233.4922127,42.87657633,2.384637207,3.444801389,45.42147506,4600,0.300000012,1,-0.699999988,4500,10,0.100000001,46,2700,5,20,3000,46,2700,5400,5,20,3000
vehicle.mini.cooper_s_2021,Car,easy,13.02669112,0.005442294,194.9282116,45.72339019,7.044288229,4.445408776,43.6911465,1130,0.300000012,0.599999964,-0.5,6500,10,0.100000001,37.5,500,1,17,3000,37.5,500,1000,1,17,3000
vehicle.mercedes.sprinter,Van,easy,13.74699304,0.013246237,170.8860886,53.06995071,1.991712298,59.61392809,43.71196986,3000,0.5,0.599999964,-0.799999952,5000,10,0.100000001,35,1500,5,20,3000,35,1500,3000,5,20,3000
vehicle.ford.ambulance,Van,easy,14.41616916,0.009340149,380.6126775,89.66078464,5.759481533,4.258122367,85.48040172,1579,0.300000012,0.199999988,-0.899999976,6500,10,0.100000001,35,800,2,17,1000,35,800,1600,2,17,1000
